,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
H@5,0.02505,0.02785,0.02686,0.02439,0.03131,0.03609,0.06229,0.13958,0.28098,0.41513,0.45616,0.46968,0.47264,0.48006,0.48072,0.48072,0.48846,0.49061,0.49209,0.49242,0.49588,0.49555,0.49522,0.49654,0.49736,0.49852,0.49572,0.49407,0.49802,0.49885,0.5,0.5,0.50082,0.50165,0.50082,0.50082,0.50297,0.50132,0.50313,0.50396
H@5_h,0.01384,0.01879,0.01813,0.01549,0.01978,0.02307,0.04087,0.11206,0.25873,0.39255,0.43111,0.44726,0.45023,0.45583,0.45583,0.45946,0.46737,0.46935,0.47132,0.47034,0.47528,0.47034,0.47429,0.4733,0.47627,0.47792,0.47462,0.47363,0.47495,0.47726,0.47858,0.48088,0.47924,0.48022,0.47989,0.47792,0.48286,0.47825,0.48022,0.48055
H@5_t,0.03626,0.03691,0.0356,0.03329,0.04285,0.04911,0.08372,0.16711,0.30323,0.43771,0.48121,0.49209,0.49506,0.50428,0.5056,0.50198,0.50956,0.51187,0.51285,0.5145,0.51648,0.52076,0.51615,0.51978,0.51846,0.51912,0.51681,0.5145,0.52109,0.52044,0.52142,0.51912,0.52241,0.52307,0.52175,0.52373,0.52307,0.52439,0.52604,0.52736
H@10,0.03659,0.04071,0.03922,0.03659,0.04219,0.04944,0.08355,0.18029,0.33355,0.46127,0.49192,0.50511,0.50989,0.51252,0.51829,0.52011,0.52373,0.52456,0.52373,0.52933,0.52752,0.52736,0.52736,0.53065,0.53065,0.53082,0.52769,0.52604,0.52966,0.53164,0.53378,0.53296,0.53362,0.53428,0.53757,0.52917,0.53428,0.53576,0.53461,0.53428
H@10_h,0.01813,0.02274,0.02472,0.02439,0.02406,0.029,0.05999,0.15326,0.30653,0.43672,0.46572,0.48649,0.48517,0.48978,0.49407,0.49835,0.50396,0.50297,0.50132,0.51022,0.50725,0.50461,0.50593,0.51022,0.5056,0.51384,0.50758,0.50461,0.51055,0.51055,0.51154,0.51417,0.5145,0.51318,0.51747,0.50692,0.51351,0.51681,0.51088,0.51384
H@10_t,0.05504,0.05867,0.05372,0.04878,0.06032,0.06987,0.10712,0.20732,0.36058,0.48583,0.51813,0.52373,0.53461,0.53527,0.54252,0.54186,0.54351,0.54614,0.54614,0.54845,0.54779,0.5501,0.54878,0.55109,0.5557,0.54779,0.54779,0.54746,0.54878,0.55274,0.55603,0.55175,0.55274,0.55537,0.55768,0.55142,0.55504,0.55471,0.55834,0.55471
Sem@1,65.3757415952538,85.66249176005275,88.90903098220171,95.55042847725774,98.89584706657877,98.03889255108767,98.59920896506262,96.9017798286091,96.53922214897824,94.08371786420568,92.86420566908372,92.43572841133816,92.58404746209624,93.63876071193144,94.10019775873434,94.95715227422545,95.53394858272907,95.43506921555701,95.69874752801582,96.19314436387607,96.1766644693474,96.2425840474621,96.53922214897824,96.58866183256427,96.47330257086355,96.6381015161503,96.48978246539222,96.62162162162161,96.88529993408042,96.78642056690838,96.78642056690836,97.0336189848385,96.93473961766645,96.9676994067238,97.08305866842451,96.9676994067238,96.98417930125247,97.13249835201054,97.11601845748187,97.05009887936717
Sem@1_h,85.06921555702044,90.11206328279499,91.2326961107449,94.9901120632828,99.76928147659855,99.9340804218853,98.681608437706,97.59393539881344,96.5721819380356,96.07778510217535,95.9789057350033,96.30850362557679,95.9789057350033,96.60514172709294,96.67106130520764,96.9017798286091,96.93473961766644,97.13249835201054,97.19841793012525,97.1654581410679,97.363216875412,97.06657877389586,97.5609756097561,97.52801582069874,97.52801582069874,97.65985497692814,97.46209624258405,97.59393539881344,97.59393539881344,97.5609756097561,97.59393539881344,97.82465392221489,97.6928147659855,97.72577455504285,97.65985497692814,97.6928147659855,97.82465392221489,97.72577455504285,97.75873434410019,97.6268951878708
Sem@1_t,45.68226763348714,81.21292023731048,86.58536585365853,96.11074489123268,98.022412656559,96.14370468029004,98.51680949241924,96.20962425840474,96.5062623599209,92.089650626236,89.74950560316414,88.56295319709953,89.1891891891892,90.67237969676995,91.52933421226103,93.01252471984179,94.1331575477917,93.73764007910349,94.1990771259064,95.22083058668424,94.9901120632828,95.41858932102835,95.5174686882004,95.6493078444298,95.41858932102835,95.61634805537244,95.5174686882004,95.6493078444298,96.1766644693474,96.01186552406065,95.9789057350033,96.2425840474621,96.1766644693474,96.20962425840474,96.5062623599209,96.2425840474621,96.14370468029004,96.53922214897824,96.47330257086355,96.47330257086355
Sem@3,71.80839375961294,85.64601186552406,89.87035816304112,95.5724016699626,98.37947703801358,98.53328938694787,98.77499450670177,97.38519006811677,96.67106130520759,94.00131839156214,92.21599648428905,91.64469347396168,91.56778729949448,91.64469347396165,92.27642276422743,92.6664469347395,93.16633706877583,92.6225005493296,93.32564271588642,93.79806635904183,93.62777411557886,93.73764007910331,94.12217095143905,94.05625137332443,94.10019775873417,94.34739617666438,94.50120852559854,94.33640958031191,94.57262140188956,94.6934739617664,94.76488683805744,94.73742034717623,94.56163480553707,94.65502087453291,94.96813887057772,94.75939353988116,94.6110744891231,94.89672599428683,94.79784662711478,94.8582729070532
